gene_name	mod_code	chrom	start0	end0	strand	n_tx_tested	test_name	stat_name	stat_value	p_value	effect_max_abs_frac_diff	per_transcript_json	p_adj_bh
RIOK3	m	chr18	23479321	23479322	+	6	chi2_6x2_pc0.5	chi2	30.49054849734833	1.1806497121825074e-05	0.049326	"[{""ZN"":1,""Ncov"":5352,""Nmod"":430,""frac"":0.08034379671150972},{""ZN"":2,""Ncov"":2695,""Nmod"":279,""frac"":0.10352504638218923},{""ZN"":3,""Ncov"":1678,""Nmod"":120,""frac"":0.07151370679380215},{""ZN"":4,""Ncov"":1010,""Nmod"":114,""frac"":0.11287128712871287},{""ZN"":5,""Ncov"":494,""Nmod"":54,""frac"":0.10931174089068826},{""ZN"":6,""Ncov"":299,""Nmod"":19,""frac"":0.06354515050167224}]"	8.846946704947265e-05
ALCAM	19228	chr3	105367270	105367271	+	4	chi2_4x2_pc0.5	chi2	25.545388517511565	1.187366912054166e-05	0.027907	"[{""ZN"":1,""Ncov"":3207,""Nmod"":27,""frac"":0.00841908325537886},{""ZN"":2,""Ncov"":678,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":430,""Nmod"":12,""frac"":0.027906976744186046},{""ZN"":4,""Ncov"":214,""Nmod"":0,""frac"":0.0}]"	8.894684378831207e-05
MXD1	17596	chr2	69940409	69940410	+	3	chi2_3x2_pc0.5	chi2	22.678957096393912	1.1893975480341071e-05	0.019477	"[{""ZN"":1,""Ncov"":2105,""Nmod"":41,""frac"":0.019477434679334917},{""ZN"":2,""Ncov"":785,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":476,""Nmod"":0,""frac"":0.0}]"	8.907296923317269e-05
RIOK3	17596	chr18	23481440	23481441	+	6	chi2_6x2_pc0.5	chi2	30.466057423396723	1.1938476356212156e-05	0.023077	"[{""ZN"":1,""Ncov"":5572,""Nmod"":118,""frac"":0.021177315147164394},{""ZN"":2,""Ncov"":2924,""Nmod"":25,""frac"":0.008549931600547196},{""ZN"":3,""Ncov"":1677,""Nmod"":38,""frac"":0.022659511031604056},{""ZN"":4,""Ncov"":1047,""Nmod"":10,""frac"":0.009551098376313277},{""ZN"":5,""Ncov"":520,""Nmod"":12,""frac"":0.023076923076923078},{""ZN"":6,""Ncov"":311,""Nmod"":0,""frac"":0.0}]"	8.938015894332998e-05
RIOK3	17596	chr18	23482602	23482603	+	2	fisher_exact_2x2	fisher_odds	inf	1.1979410398503118e-05	0.454545	"[{""ZN"":1,""Ncov"":33,""Nmod"":15,""frac"":0.45454545454545453},{""ZN"":3,""Ncov"":29,""Nmod"":0,""frac"":0.0}]"	8.966047339660992e-05
ALCAM	a	chr3	105367465	105367466	+	4	chi2_4x2_pc0.5	chi2	25.5201113783014	1.2019155801620836e-05	0.069754	"[{""ZN"":1,""Ncov"":3081,""Nmod"":129,""frac"":0.04186952288218111},{""ZN"":2,""Ncov"":621,""Nmod"":37,""frac"":0.05958132045088567},{""ZN"":3,""Ncov"":428,""Nmod"":39,""frac"":0.0911214953271028},{""ZN"":4,""Ncov"":234,""Nmod"":5,""frac"":0.021367521367521368}]"	8.991538812100857e-05
ALCAM	19229	chr3	105367212	105367213	+	4	chi2_4x2_pc0.5	chi2	25.519883725809883	1.2020474136463906e-05	0.034169	"[{""ZN"":1,""Ncov"":3184,""Nmod"":44,""frac"":0.013819095477386936},{""ZN"":2,""Ncov"":676,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":439,""Nmod"":15,""frac"":0.03416856492027335},{""ZN"":4,""Ncov"":192,""Nmod"":0,""frac"":0.0}]"	8.991538812100857e-05
RIOK3	19228	chr18	23482607	23482608	+	4	chi2_4x2_pc0.5	chi2	25.511875017110942	1.2066944417005262e-05	0.011407	"[{""ZN"":1,""Ncov"":5820,""Nmod"":12,""frac"":0.002061855670103093},{""ZN"":3,""Ncov"":1752,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":526,""Nmod"":6,""frac"":0.011406844106463879},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	9.023670173998225e-05
RIOK3	69426	chr18	23475097	23475098	+	6	chi2_6x2_pc0.5	chi2	30.43453119608975	1.2110526200869413e-05	0.005663	"[{""ZN"":1,""Ncov"":5242,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":2491,""Nmod"":5,""frac"":0.002007226013649137},{""ZN"":3,""Ncov"":1766,""Nmod"":10,""frac"":0.0056625141562853904},{""ZN"":4,""Ncov"":1093,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":538,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":314,""Nmod"":0,""frac"":0.0}]"	9.053623431238193e-05
RIOK3	a	chr18	23481425	23481426	+	6	chi2_6x2_pc0.5	chi2	30.432920997714888	1.2119379420578959e-05	0.015773	"[{""ZN"":1,""Ncov"":5920,""Nmod"":15,""frac"":0.002533783783783784},{""ZN"":2,""Ncov"":3110,""Nmod"":20,""frac"":0.006430868167202572},{""ZN"":3,""Ncov"":1778,""Nmod"":14,""frac"":0.007874015748031496},{""ZN"":4,""Ncov"":1095,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":544,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":317,""Nmod"":5,""frac"":0.015772870662460567}]"	9.057604322710424e-05
MXD1	m	chr2	69937326	69937327	+	3	chi2_3x2_pc0.5	chi2	22.62455637651714	1.2221935996401065e-05	0.027687	"[{""ZN"":1,""Ncov"":2131,""Nmod"":59,""frac"":0.027686532144533083},{""ZN"":2,""Ncov"":786,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":489,""Nmod"":7,""frac"":0.014314928425357873}]"	9.131593157730155e-05
ALCAM	a	chr3	105547191	105547192	+	3	chi2_3x2_pc0.5	chi2	22.618972004864762	1.2256109600182561e-05	0.016835	"[{""ZN"":1,""Ncov"":4417,""Nmod"":12,""frac"":0.002716776092370387},{""ZN"":2,""Ncov"":818,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":297,""Nmod"":5,""frac"":0.016835016835016835}]"	9.15446161349685e-05
ALCAM	69426	chr3	105367122	105367123	+	4	chi2_4x2_pc0.5	chi2	25.477826892434138	1.226651557750455e-05	0.05814	"[{""ZN"":1,""Ncov"":3020,""Nmod"":77,""frac"":0.025496688741721854},{""ZN"":2,""Ncov"":630,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":431,""Nmod"":10,""frac"":0.02320185614849188},{""ZN"":4,""Ncov"":172,""Nmod"":10,""frac"":0.05813953488372093}]"	9.159569165378036e-05
RIOK3	17596	chr18	23482861	23482862	+	4	chi2_4x2_pc0.5	chi2	25.47337336675095	1.229286190230719e-05	0.018669	"[{""ZN"":1,""Ncov"":5789,""Nmod"":35,""frac"":0.006045949214026602},{""ZN"":3,""Ncov"":1749,""Nmod"":19,""frac"":0.010863350485991996},{""ZN"":5,""Ncov"":526,""Nmod"":13,""frac"":0.024714828897338403},{""ZN"":6,""Ncov"":317,""Nmod"":5,""frac"":0.015772870662460567}]"	9.176573153708351e-05
MXD1	m	chr2	69939362	69939363	+	3	chi2_3x2_pc0.5	chi2	22.589168416899284	1.2440115222346376e-05	0.014706	"[{""ZN"":1,""Ncov"":1790,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":606,""Nmod"":6,""frac"":0.009900990099009901},{""ZN"":3,""Ncov"":408,""Nmod"":6,""frac"":0.014705882352941176}]"	9.28197092407134e-05
RIOK3	m	chr18	23482529	23482530	+	4	chi2_4x2_pc0.5	chi2	25.448461047741148	1.244128309042127e-05	0.011278	"[{""ZN"":1,""Ncov"":5888,""Nmod"":12,""frac"":0.0020380434782608695},{""ZN"":3,""Ncov"":1762,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":532,""Nmod"":6,""frac"":0.011278195488721804},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	9.28197092407134e-05
RIOK3	17596	chr18	23466167	23466168	+	6	chi2_6x2_pc0.5	chi2	30.353681551903367	1.2563088614352555e-05	0.007126	"[{""ZN"":1,""Ncov"":4421,""Nmod"":5,""frac"":0.001130965844831486},{""ZN"":2,""Ncov"":2013,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1684,""Nmod"":12,""frac"":0.007125890736342043},{""ZN"":4,""Ncov"":973,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":528,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":312,""Nmod"":0,""frac"":0.0}]"	9.370122338979047e-05
MXD1	19228	chr2	69938898	69938899	+	3	chi2_3x2_pc0.5	chi2	22.563259980813548	1.2602315508095824e-05	0.023715	"[{""ZN"":1,""Ncov"":2087,""Nmod"":13,""frac"":0.006229036895064686},{""ZN"":2,""Ncov"":759,""Nmod"":18,""frac"":0.023715415019762844},{""ZN"":3,""Ncov"":463,""Nmod"":0,""frac"":0.0}]"	9.396649541790183e-05
RIOK3	a	chr18	23464086	23464087	+	6	chi2_6x2_pc0.5	chi2	30.341695965356386	1.263159328389818e-05	0.006739	"[{""ZN"":1,""Ncov"":3233,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":1484,""Nmod"":10,""frac"":0.006738544474393531},{""ZN"":3,""Ncov"":1258,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":712,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":400,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":272,""Nmod"":0,""frac"":0.0}]"	9.415745144722243e-05
RIOK3	a	chr18	23477245	23477246	+	3	chi2_3x2_pc0.5	chi2	22.5569398349975	1.264220273398925e-05	0.225806	"[{""ZN"":1,""Ncov"":88,""Nmod"":5,""frac"":0.056818181818181816},{""ZN"":2,""Ncov"":101,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":31,""Nmod"":7,""frac"":0.22580645161290322}]"	9.420918101218346e-05
RIOK3	17802	chr18	23475106	23475107	+	6	chi2_6x2_pc0.5	chi2	30.33238761030525	1.268505181101936e-05	0.07582	"[{""ZN"":1,""Ncov"":5092,""Nmod"":320,""frac"":0.06284367635506677},{""ZN"":2,""Ncov"":2463,""Nmod"":139,""frac"":0.056435241575314654},{""ZN"":3,""Ncov"":1703,""Nmod"":121,""frac"":0.07105108631826189},{""ZN"":4,""Ncov"":1059,""Nmod"":61,""frac"":0.05760151085930123},{""ZN"":5,""Ncov"":525,""Nmod"":6,""frac"":0.011428571428571429},{""ZN"":6,""Ncov"":298,""Nmod"":26,""frac"":0.087248322147651}]"	9.450105922591091e-05
RIOK3	m	chr18	23453374	23453375	+	6	chi2_6x2_pc0.5	chi2	30.324834572717947	1.2728594498220931e-05	0.044665	"[{""ZN"":1,""Ncov"":3658,""Nmod"":126,""frac"":0.03444505194095134},{""ZN"":2,""Ncov"":1651,""Nmod"":31,""frac"":0.01877649909145972},{""ZN"":3,""Ncov"":1405,""Nmod"":25,""frac"":0.017793594306049824},{""ZN"":4,""Ncov"":806,""Nmod"":36,""frac"":0.04466501240694789},{""ZN"":5,""Ncov"":435,""Nmod"":13,""frac"":0.029885057471264367},{""ZN"":6,""Ncov"":252,""Nmod"":0,""frac"":0.0}]"	9.479793384343712e-05
ALCAM	17596	chr3	105552504	105552505	+	3	chi2_3x2_pc0.5	chi2	22.54269811972344	1.2732547343672943e-05	0.011682	"[{""ZN"":1,""Ncov"":5054,""Nmod"":10,""frac"":0.0019786307874950534},{""ZN"":2,""Ncov"":856,""Nmod"":10,""frac"":0.011682242990654205},{""ZN"":4,""Ncov"":339,""Nmod"":0,""frac"":0.0}]"	9.479987105764843e-05
RIOK3	a	chr18	23453475	23453476	+	6	chi2_6x2_pc0.5	chi2	30.322868125971965	1.2739955245468092e-05	0.017921	"[{""ZN"":1,""Ncov"":3917,""Nmod"":25,""frac"":0.006382435537401072},{""ZN"":2,""Ncov"":1730,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1470,""Nmod"":15,""frac"":0.01020408163265306},{""ZN"":4,""Ncov"":856,""Nmod"":12,""frac"":0.014018691588785047},{""ZN"":5,""Ncov"":458,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":279,""Nmod"":5,""frac"":0.017921146953405017}]"	9.482752422779266e-05
RIOK3	19229	chr18	23467404	23467405	+	4	chi2_4x2_pc0.5	chi2	25.39172827850356	1.278598413701937e-05	0.012021	"[{""ZN"":1,""Ncov"":4565,""Nmod"":14,""frac"":0.0030668127053669223},{""ZN"":2,""Ncov"":2074,""Nmod"":14,""frac"":0.006750241080038573},{""ZN"":3,""Ncov"":1747,""Nmod"":21,""frac"":0.012020606754436176},{""ZN"":4,""Ncov"":1048,""Nmod"":0,""frac"":0.0}]"	9.514254630885833e-05
MXD1	19228	chr2	69939790	69939791	+	3	chi2_3x2_pc0.5	chi2	22.531683093622874	1.2802865475601388e-05	0.028889	"[{""ZN"":1,""Ncov"":1961,""Nmod"":19,""frac"":0.009688934217236104},{""ZN"":2,""Ncov"":710,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":450,""Nmod"":13,""frac"":0.028888888888888888}]"	9.524055708190056e-05
RIOK3	17802	chr18	23477055	23477056	+	6	chi2_6x2_pc0.5	chi2	30.305178212491413	1.2842608928097522e-05	0.014519	"[{""ZN"":1,""Ncov"":5462,""Nmod"":24,""frac"":0.004393994873672647},{""ZN"":2,""Ncov"":2794,""Nmod"":6,""frac"":0.0021474588403722263},{""ZN"":3,""Ncov"":1790,""Nmod"":8,""frac"":0.004469273743016759},{""ZN"":4,""Ncov"":1102,""Nmod"":16,""frac"":0.014519056261343012},{""ZN"":5,""Ncov"":544,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	9.55085331408226e-05
RIOK3	19229	chr18	23477016	23477017	+	6	chi2_6x2_pc0.5	chi2	30.298239969995542	1.288309509140093e-05	0.010344	"[{""ZN"":1,""Ncov"":5357,""Nmod"":35,""frac"":0.006533507560201606},{""ZN"":2,""Ncov"":2707,""Nmod"":28,""frac"":0.010343553749538234},{""ZN"":3,""Ncov"":1788,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1100,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":543,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":319,""Nmod"":0,""frac"":0.0}]"	9.578187581420349e-05
RIOK3	19227	chr18	23477179	23477180	+	6	chi2_6x2_pc0.5	chi2	30.28123288649253	1.2982872048606136e-05	0.011331	"[{""ZN"":1,""Ncov"":5555,""Nmod"":27,""frac"":0.00486048604860486},{""ZN"":2,""Ncov"":2824,""Nmod"":32,""frac"":0.0113314447592068},{""ZN"":3,""Ncov"":1786,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1102,""Nmod"":6,""frac"":0.0054446460980036296},{""ZN"":5,""Ncov"":544,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	9.64957415262932e-05
MXD1	19227	chr2	69940404	69940405	+	3	chi2_3x2_pc0.5	chi2	22.487830335802368	1.3086686164281889e-05	0.012195	"[{""ZN"":1,""Ncov"":2136,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":803,""Nmod"":7,""frac"":0.008717310087173101},{""ZN"":3,""Ncov"":492,""Nmod"":6,""frac"":0.012195121951219513}]"	9.723919166698833e-05
RIOK3	17802	chr18	23473592	23473593	+	3	chi2_3x2_pc0.5	chi2	22.48514172654208	1.310429048722104e-05	0.018103	"[{""ZN"":1,""Ncov"":4948,""Nmod"":34,""frac"":0.0068714632174616},{""ZN"":2,""Ncov"":2320,""Nmod"":42,""frac"":0.01810344827586207},{""ZN"":6,""Ncov"":312,""Nmod"":0,""frac"":0.0}]"	9.734182447567666e-05
ALCAM	17802	chr3	105367454	105367455	+	4	chi2_4x2_pc0.5	chi2	25.334007558006334	1.314646155069213e-05	0.052569	"[{""ZN"":1,""Ncov"":3372,""Nmod"":274,""frac"":0.08125741399762752},{""ZN"":2,""Ncov"":690,""Nmod"":32,""frac"":0.0463768115942029},{""ZN"":3,""Ncov"":488,""Nmod"":14,""frac"":0.028688524590163935},{""ZN"":4,""Ncov"":241,""Nmod"":13,""frac"":0.05394190871369295}]"	9.76268327825769e-05
RIOK3	17802	chr18	23482964	23482965	+	4	chi2_4x2_pc0.5	chi2	25.332138217903257	1.3158303834288793e-05	0.018868	"[{""ZN"":1,""Ncov"":5903,""Nmod"":18,""frac"":0.003049296967643571},{""ZN"":3,""Ncov"":1775,""Nmod"":6,""frac"":0.0033802816901408453},{""ZN"":5,""Ncov"":532,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":6,""frac"":0.018867924528301886}]"	9.768651707167782e-05
RIOK3	19227	chr18	23481726	23481727	+	4	chi2_4x2_pc0.5	chi2	25.32461161394542	1.3206092653316257e-05	0.019868	"[{""ZN"":1,""Ncov"":5649,""Nmod"":40,""frac"":0.007080899274207825},{""ZN"":3,""Ncov"":1704,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":502,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":302,""Nmod"":6,""frac"":0.019867549668874173}]"	9.801295478344462e-05
RIOK3	a	chr18	23473502	23473503	+	3	chi2_3x2_pc0.5	chi2	22.46137465538614	1.3260944749163012e-05	0.020082	"[{""ZN"":1,""Ncov"":4744,""Nmod"":38,""frac"":0.008010118043844857},{""ZN"":2,""Ncov"":2191,""Nmod"":44,""frac"":0.020082154267457783},{""ZN"":6,""Ncov"":317,""Nmod"":0,""frac"":0.0}]"	9.839161086720023e-05
ALCAM	17596	chr3	105532027	105532028	+	3	chi2_3x2_pc0.5	chi2	22.45389365289481	1.3310640214548838e-05	0.02509	"[{""ZN"":1,""Ncov"":3787,""Nmod"":22,""frac"":0.005809347768682334},{""ZN"":2,""Ncov"":741,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":279,""Nmod"":7,""frac"":0.025089605734767026}]"	9.873179878298115e-05
ALCAM	a	chr3	105367170	105367171	+	4	chi2_4x2_pc0.5	chi2	25.303772689023365	1.3339310446675654e-05	0.026163	"[{""ZN"":1,""Ncov"":2961,""Nmod"":27,""frac"":0.00911854103343465},{""ZN"":2,""Ncov"":583,""Nmod"":5,""frac"":0.008576329331046312},{""ZN"":3,""Ncov"":403,""Nmod"":14,""frac"":0.034739454094292806},{""ZN"":4,""Ncov"":172,""Nmod"":5,""frac"":0.029069767441860465}]"	9.8915880354436e-05
ALCAM	19229	chr3	105366975	105366976	+	4	chi2_4x2_pc0.5	chi2	25.293888248563945	1.3402966769669815e-05	0.04	"[{""ZN"":1,""Ncov"":2931,""Nmod"":64,""frac"":0.02183555100648243},{""ZN"":2,""Ncov"":598,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":398,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":175,""Nmod"":7,""frac"":0.04}]"	9.935921539444514e-05
MXD1	17596	chr2	69939621	69939622	+	3	chi2_3x2_pc0.5	chi2	22.438012986423754	1.3416751856812576e-05	0.018272	"[{""ZN"":1,""Ncov"":2093,""Nmod"":5,""frac"":0.0023889154323936935},{""ZN"":2,""Ncov"":772,""Nmod"":5,""frac"":0.006476683937823834},{""ZN"":3,""Ncov"":484,""Nmod"":10,""frac"":0.02066115702479339}]"	9.943269447693201e-05
RIOK3	m	chr18	23464570	23464571	+	6	chi2_6x2_pc0.5	chi2	30.201089381729957	1.346348284069781e-05	0.022727	"[{""ZN"":1,""Ncov"":4004,""Nmod"":46,""frac"":0.011488511488511488},{""ZN"":2,""Ncov"":1764,""Nmod"":6,""frac"":0.003401360544217687},{""ZN"":3,""Ncov"":1534,""Nmod"":14,""frac"":0.009126466753585397},{""ZN"":4,""Ncov"":880,""Nmod"":20,""frac"":0.022727272727272728},{""ZN"":5,""Ncov"":476,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":286,""Nmod"":6,""frac"":0.02097902097902098}]"	9.97502255371989e-05
ALCAM	19228	chr3	105534703	105534704	+	3	chi2_3x2_pc0.5	chi2	22.427006874459927	1.3490788520487064e-05	0.015936	"[{""ZN"":1,""Ncov"":3880,""Nmod"":12,""frac"":0.003092783505154639},{""ZN"":2,""Ncov"":753,""Nmod"":12,""frac"":0.01593625498007968},{""ZN"":4,""Ncov"":272,""Nmod"":0,""frac"":0.0}]"	9.99236938539942e-05
RIOK3	17596	chr18	23475059	23475060	+	6	chi2_6x2_pc0.5	chi2	30.18215179805838	1.3579605562830928e-05	0.009452	"[{""ZN"":1,""Ncov"":5169,""Nmod"":5,""frac"":0.000967305088024763},{""ZN"":2,""Ncov"":2511,""Nmod"":5,""frac"":0.001991238550378335},{""ZN"":3,""Ncov"":1763,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1085,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":529,""Nmod"":5,""frac"":0.00945179584120983},{""ZN"":6,""Ncov"":319,""Nmod"":0,""frac"":0.0}]"	0.00010055253360513285
RIOK3	17596	chr18	23481606	23481607	+	4	chi2_4x2_pc0.5	chi2	25.265749015398033	1.3585848249070429e-05	0.050167	"[{""ZN"":1,""Ncov"":5565,""Nmod"":109,""frac"":0.01958670260557053},{""ZN"":3,""Ncov"":1670,""Nmod"":35,""frac"":0.020958083832335328},{""ZN"":5,""Ncov"":524,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":299,""Nmod"":15,""frac"":0.05016722408026756}]"	0.00010056975093717879
MXD1	19227	chr2	69939364	69939365	+	3	chi2_3x2_pc0.5	chi2	22.411115474091112	1.359840927624004e-05	0.024041	"[{""ZN"":1,""Ncov"":1747,""Nmod"":42,""frac"":0.024041213508872353},{""ZN"":2,""Ncov"":617,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":390,""Nmod"":0,""frac"":0.0}]"	0.00010063371661563399
ALCAM	69426	chr3	105575918	105575919	+	3	chi2_3x2_pc0.5	chi2	22.402094134039892	1.3659885759188719e-05	0.022145	"[{""ZN"":1,""Ncov"":5427,""Nmod"":39,""frac"":0.007186290768380321},{""ZN"":2,""Ncov"":858,""Nmod"":19,""frac"":0.022144522144522144},{""ZN"":4,""Ncov"":364,""Nmod"":0,""frac"":0.0}]"	0.00010105953521898928
MXD1	17802	chr2	69939362	69939363	+	3	chi2_3x2_pc0.5	chi2	22.392743340774622	1.3723900674017768e-05	0.131313	"[{""ZN"":1,""Ncov"":250,""Nmod"":6,""frac"":0.024},{""ZN"":2,""Ncov"":99,""Nmod"":13,""frac"":0.13131313131313133},{""ZN"":3,""Ncov"":78,""Nmod"":0,""frac"":0.0}]"	0.00010150388306061196
ALCAM	19228	chr3	105541639	105541640	+	3	chi2_3x2_pc0.5	chi2	22.386383307315857	1.376761237288414e-05	0.051643	"[{""ZN"":1,""Ncov"":4088,""Nmod"":232,""frac"":0.05675146771037182},{""ZN"":2,""Ncov"":767,""Nmod"":13,""frac"":0.01694915254237288},{""ZN"":4,""Ncov"":277,""Nmod"":19,""frac"":0.06859205776173286}]"	0.00010179785277554194
RIOK3	69426	chr18	23453400	23453401	+	6	chi2_6x2_pc0.5	chi2	30.14630764180884	1.3802126534905307e-05	0.026672	"[{""ZN"":1,""Ncov"":3377,""Nmod"":32,""frac"":0.009475866153390583},{""ZN"":2,""Ncov"":1580,""Nmod"":10,""frac"":0.006329113924050633},{""ZN"":3,""Ncov"":1269,""Nmod"":5,""frac"":0.003940110323089046},{""ZN"":4,""Ncov"":770,""Nmod"":10,""frac"":0.012987012987012988},{""ZN"":5,""Ncov"":392,""Nmod"":12,""frac"":0.030612244897959183},{""ZN"":6,""Ncov"":227,""Nmod"":5,""frac"":0.022026431718061675}]"	0.00010202366611116874
ALCAM	19227	chr3	105524316	105524317	+	4	chi2_4x2_pc0.5	chi2	25.232293221256775	1.3806523212735263e-05	0.016438	"[{""ZN"":1,""Ncov"":3631,""Nmod"":12,""frac"":0.0033048746901679976},{""ZN"":2,""Ncov"":730,""Nmod"":12,""frac"":0.01643835616438356},{""ZN"":3,""Ncov"":502,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":280,""Nmod"":0,""frac"":0.0}]"	0.00010202678869238332
MXD1	a	chr2	69937348	69937349	+	3	chi2_3x2_pc0.5	chi2	22.370346878091567	1.3878447800894484e-05	0.035742	"[{""ZN"":1,""Ncov"":2034,""Nmod"":91,""frac"":0.04473942969518191},{""ZN"":2,""Ncov"":778,""Nmod"":7,""frac"":0.008997429305912597},{""ZN"":3,""Ncov"":470,""Nmod"":12,""frac"":0.02553191489361702}]"	0.00010252878041570164
RIOK3	m	chr18	23453303	23453304	+	6	chi2_6x2_pc0.5	chi2	30.126077786746887	1.3929308211894583e-05	0.027074	"[{""ZN"":1,""Ncov"":2290,""Nmod"":62,""frac"":0.027074235807860263},{""ZN"":2,""Ncov"":908,""Nmod"":6,""frac"":0.006607929515418502},{""ZN"":3,""Ncov"":721,""Nmod"":13,""frac"":0.018030513176144243},{""ZN"":4,""Ncov"":456,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":252,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":120,""Nmod"":0,""frac"":0.0}]"	0.00010287491381350912
RIOK3	m	chr18	23464289	23464290	+	6	chi2_6x2_pc0.5	chi2	30.12170307343021	1.3956963957659268e-05	0.031897	"[{""ZN"":1,""Ncov"":4140,""Nmod"":168,""frac"":0.04057971014492753},{""ZN"":2,""Ncov"":1832,""Nmod"":62,""frac"":0.03384279475982533},{""ZN"":3,""Ncov"":1582,""Nmod"":104,""frac"":0.06573957016434892},{""ZN"":4,""Ncov"":919,""Nmod"":57,""frac"":0.062023939064200215},{""ZN"":5,""Ncov"":494,""Nmod"":24,""frac"":0.048582995951417005},{""ZN"":6,""Ncov"":305,""Nmod"":19,""frac"":0.06229508196721312}]"	0.000103049519333054
ALCAM	m	chr3	105575240	105575241	+	3	chi2_3x2_pc0.5	chi2	22.34541986771312	1.4052504331172583e-05	0.03125	"[{""ZN"":1,""Ncov"":5508,""Nmod"":76,""frac"":0.013798111837327523},{""ZN"":2,""Ncov"":904,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":384,""Nmod"":12,""frac"":0.03125}]"	0.00010372509809944294
MXD1	19227	chr2	69939767	69939768	+	3	chi2_3x2_pc0.5	chi2	22.3432458393975	1.4067787907560296e-05	0.012195	"[{""ZN"":1,""Ncov"":2117,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":797,""Nmod"":7,""frac"":0.00878293601003764},{""ZN"":3,""Ncov"":492,""Nmod"":6,""frac"":0.012195121951219513}]"	0.00010380806299594363
ALCAM	a	chr3	105575235	105575236	+	3	chi2_3x2_pc0.5	chi2	22.340173481349144	1.4089415155669831e-05	0.018041	"[{""ZN"":1,""Ncov"":5513,""Nmod"":22,""frac"":0.0039905677489570105},{""ZN"":2,""Ncov"":892,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":388,""Nmod"":7,""frac"":0.01804123711340206}]"	0.000103937777550677
