#chrom	tes_1based	strand	intron_chain_tx_order	n_introns	read_support	frac_global	polya_support_frac	median_mapq	median_tail_len	median_tail_purity	n_unique_chains	n_full_length_reads	included_trunc	sample_counts	chain_counts	kept
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	224	0.0519	0.9866	60.0	56.5	0.674	8	185	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:4|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:59|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:108|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:51	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:185|23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:7|23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:6|23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:9|23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:3|23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:8|23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:5|23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	1
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	68	0.0158	0.9853	60.0	53.0	0.676	6	58	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:2|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:19|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:30|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:17	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:58|23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:3|23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:3|23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1|23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1|23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2	1
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	40	0.0093	0.9250	60.0	62.0	0.672	4	36	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:2|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:10|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:20|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:8	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:36|23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2|23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1|23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	1
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175	12	14	0.0032	0.8571	60.0	24.5	0.677	4	11	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:2|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:3|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:7	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:11|23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:1|23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:1|23477087-23477178;23477269-23479316;23479425-23481175:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	10	0.0023	0.7000	60.0	50.0	0.672	1	10	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:3|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:5|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:10	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	7	0.0016	1.0000	60.0	76.0	0.671	1	7	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:5|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:7	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	10	6	0.0014	1.0000	60.0	44.0	0.660	1	6	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:3|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:3	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:6	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464235;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	5	0.0012	1.0000	60.0	49.0	0.698	1	5	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:2|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464235;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:5	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477269-23479316;23479425-23481171	11	9	0.0021	1.0000	60.0	118.0	0.667	2	5	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:2|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:4|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:2	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477269-23479316;23479425-23481171:5|23475108-23477005;23477269-23479316;23479425-23481171:4	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23481171	11	8	0.0019	1.0000	60.0	26.0	0.677	4	4	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:3|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23481171:4|23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23481171:1|23475108-23477005;23477087-23477178;23477269-23481171:1|23477087-23477178;23477269-23481171:2	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477269-23479316;23479425-23481171	11	5	0.0012	1.0000	60.0	129.0	0.670	2	4	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:3	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477269-23479316;23479425-23481171:4|23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477269-23479316;23479425-23481171:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171	11	9	0.0021	1.0000	60.0	53.0	0.674	3	4	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:3|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:5|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171:4|23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171:2|23477087-23477156;23477269-23479316;23479425-23481171:3	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171	11	4	0.0009	1.0000	60.0	49.5	0.664	1	4	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:3|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171:4	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467566-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	3	0.0007	1.0000	60.0	65.0	0.662	1	3	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467566-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:3	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171	12	3	0.0007	1.0000	60.0	59.0	0.667	1	3	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:2|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171:3	0
chr18	23483140	+	23453503-23462162;23462283-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	13	2	0.0005	1.0000	60.0	73.0	0.641	1	2	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462162;23462283-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23471560;23471663-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	13	2	0.0005	1.0000	60.0	37.0	0.781	1	2	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:2	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23471560;23471663-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175	12	2	0.0005	1.0000	60.0	79.5	0.686	1	2	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:2	0
chr18	23483140	+	23453503-23462963;23463080-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	2	0.0005	1.0000	60.0	93.5	0.668	1	2	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	2	0.0005	1.0000	60.0	34.5	0.797	1	2	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477269-23479316;23479425-23481171	10	2	0.0005	1.0000	60.0	96.5	0.697	1	2	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:2	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477269-23479316;23479425-23481171:2	0
chr18	23483140	+	23475108-23477005;23479425-23481171	2	2	0.0005	1.0000	60.0	160.5	0.670	1	2	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23475108-23477005;23479425-23481171:2	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481302-23481343;23482371-23482417	14	1	0.0002	1.0000	60.0	34.0	0.706	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481302-23481343;23482371-23482417:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23482594-23482666	13	1	0.0002	1.0000	60.0	31.0	0.677	1	1	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23482594-23482666:1	0
chr18	23483140	+	23453525-23459577;23459686-23462989;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	13	1	0.0002	1.0000	60.0	41.0	0.659	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453525-23459577;23459686-23462989;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23483140	+	23453503-23462963;23463084-23464014;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481738-23481807	13	1	0.0002	1.0000	60.0	102.0	0.667	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453503-23462963;23463084-23464014;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481738-23481807:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481858-23482164	13	1	0.0002	1.0000	60.0	61.0	0.672	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481858-23482164:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481269-23481625	13	1	0.0002	1.0000	60.0	18.0	0.667	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481269-23481625:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23479597;23479720-23481171	13	1	0.0002	1.0000	60.0	58.0	0.672	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23479597;23479720-23481171:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23471560;23471677-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	13	1	0.0002	1.0000	60.0	66.0	0.667	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23471560;23471677-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481314-23481354	13	1	0.0002	1.0000	60.0	23.0	0.609	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481314-23481354:1	0
chr18	23483140	+	23453503-23462162;23462283-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	13	1	0.0002	1.0000	60.0	65.0	0.677	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462162;23462283-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23483140	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481576-23481766	13	1	0.0002	1.0000	60.0	27.0	0.519	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481576-23481766:1	0
chr18	23483140	+	23456886-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	23.0	0.652	1	1	0	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1	23456886-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23483140	+	23453503-23462963;23463084-23463966;23464113-23464235;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	61.0	0.770	1	1	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1	23453503-23462963;23463084-23463966;23464113-23464235;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23483140	+	23453503-23462963;23463075-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	20.0	0.650	1	1	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1	23453503-23462963;23463075-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
